# Copyright 2010 Google Inc. All Rights Reserved.
# Author: rws@google.com (Richard Sproat)
#
# Unit test for Afrikaans number names.

CARDINAL_NUMBER_NAME	901000000	nege honderd en een miljoen
CARDINAL_NUMBER_NAME	987654321	nege honderd sewe en tagtig miljoen ses honderd vier en vyftig duisend drie honderd een en twintig
CARDINAL_NUMBER_NAME	1000000000	een miljard
CARDINAL_NUMBER_NAME	2000000000	twee miljard
CARDINAL_NUMBER_NAME	9876543291	nege miljard agt honderd ses en sewentig miljoen vyf honderd drie en veertig duisend twee honderd een en negentig
CARDINAL_NUMBER_NAME	10000000000	tien miljard
CARDINAL_NUMBER_NAME	100000000000	honderd miljard
CARDINAL_NUMBER_NAME	100000000001	honderd miljard en een
CARDINAL_NUMBER_NAME	101000000000	honderd en een miljard
CARDINAL_NUMBER_NAME	102000000000	honderd en twee miljard

ORDINAL_NUMBER_NAME	0e	nulste
ORDINAL_NUMBER_NAME	1e	eerste
ORDINAL_NUMBER_NAME	2e	tweede
ORDINAL_NUMBER_NAME	3e	derde
ORDINAL_NUMBER_NAME	4e	vierde
ORDINAL_NUMBER_NAME	5e	vyfde
ORDINAL_NUMBER_NAME	6e	sesde
ORDINAL_NUMBER_NAME	7e	sewende
ORDINAL_NUMBER_NAME	8e	agtste
ORDINAL_NUMBER_NAME	9e	negende
ORDINAL_NUMBER_NAME	10e	tiende
ORDINAL_NUMBER_NAME	11e	elfde
ORDINAL_NUMBER_NAME	12e	twaalfde
ORDINAL_NUMBER_NAME	13e	dertiende
ORDINAL_NUMBER_NAME	14e	veertiende
ORDINAL_NUMBER_NAME	15e	vyftiende
ORDINAL_NUMBER_NAME	16e	sestiende
ORDINAL_NUMBER_NAME	17e	sewentiende
ORDINAL_NUMBER_NAME	18e	agtiende
ORDINAL_NUMBER_NAME	19e	negentiende
ORDINAL_NUMBER_NAME	20e	twintigste
ORDINAL_NUMBER_NAME	21e	een en twintigste
ORDINAL_NUMBER_NAME	32e	twee en dertigste
ORDINAL_NUMBER_NAME	43e	drie en veertigste
ORDINAL_NUMBER_NAME	54e	vier en vyftigste
ORDINAL_NUMBER_NAME	65e	vyf en sestigste
ORDINAL_NUMBER_NAME	76e	ses en sewentigste
ORDINAL_NUMBER_NAME	87e	sewe en tagtigste
ORDINAL_NUMBER_NAME	98e	agt en negentigste
ORDINAL_NUMBER_NAME	100e	honderdste
ORDINAL_NUMBER_NAME	1000e	een duisendste
ORDINAL_NUMBER_NAME	1000000e	een miljoenste
ORDINAL_NUMBER_NAME	1000001e	een miljoen en eerste
ORDINAL_NUMBER_NAME	1100000e	een miljoen honderd duisendste
ORDINAL_NUMBER_NAME	2000001e	twee miljoen en eerste
ORDINAL_NUMBER_NAME	1001000e	een miljoen een duisendste
ORDINAL_NUMBER_NAME	1001000000e	een miljard een miljoenste
ORDINAL_NUMBER_NAME	1001001000e	een miljard een miljoen een duisendste

# Test the various ways of delimiting thousands

CARDINAL_NUMBER_NAME	21.000	een en twintig duisend
CARDINAL_NUMBER_NAME	100.000	honderd duisend
CARDINAL_NUMBER_NAME	1.000.000	een miljoen
CARDINAL_NUMBER_NAME	2.000.000	twee miljoen
CARDINAL_NUMBER_NAME	21 000	een en twintig duisend
CARDINAL_NUMBER_NAME	100 000	honderd duisend
CARDINAL_NUMBER_NAME	1 000 000	een miljoen
CARDINAL_NUMBER_NAME	2 000 000	twee miljoen

## Test auxiliary targets

SINGLE_DIGIT	1	een
SINGLE_DIGIT	9	nege
MINUS	-	minus
COMMA	,	komma
SPELLED_NUMBERS	miljoen	miljoen

ORDINAL_NUMBER_NAME_WITHOUT_OVERT_MARKING	1	eerste
ORDINAL_NUMBER_NAME_WITHOUT_OVERT_MARKING	10	tiende
ORDINAL_NUMBER_NAME_WITHOUT_OVERT_MARKING	12	twaalfde
